"ProcessFamily","Source","Workshop","Subprocess","AppId","AppName","ScopeItemId","ScopeItemCandidate","ScopeItemConfidence","SAPBestPracticesValidation","TenantScopeValidation","TestScriptReference","BusinessOwner","FitGapDecision","DecisionStatus","PublicCloud2602","BusinessCatalog","Component","SourceFile"
"Design-to-Operate","D2Operate","D2Operate EHS and product compliance","Approved chemicals","F2251","Approved Chemicals","TBD - validate in SAP Process Navigator / tenant","EHS and product compliance","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","EHS / Product Compliance Owner","TBD - standard first","Open","No / validar","SAP_EHS_BC_HS_HAZMAT_MGMT","EHS-SUS-HS","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Asset overview","F8961","Asset Overview","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","Si","SAP_EAM_BC_AOVW_MNG_PC","PM-EQM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Bill of material","F1813A","Maintain Bill Of Material (Version 2)","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM_PC","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Bill of material","F2214","Material Where Used List for BOMs","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM fallback","CS01","Create Material BOM","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","LO-MD-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM fallback","CS02","Change Material BOM","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","LO-MD-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM fallback","CS03","Display Material BOM","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","LO-MD-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM mass maintenance","F6578","Mass maintenance of bill of material items","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM mass maintenance","F6764","Monitor jobs for mass maintenance of bills of material","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM mass maintenance","F6862","Mass addition of bill of material items","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
