"Session","Workshop","Priority","BusinessOwner","Subprocess","AppId","AppName","PublicCloud2602","BusinessCatalog","Component","ScopeItemCandidate","ScopeItemId","TestScriptReference","FitGapDecision","DecisionStatus","PrimaryDecisionPrompt","BoundaryQuestion","EvidenceRequired","SecurityFocus","SoDReview","MexicoComplianceTopic","MexicoEvidence","FollowUpAction","SourceFile"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Employee fact sheet","F1522","Employee Fact Sheet","No / validar","SAP_HCM_BC_EMPLOYEE_ESS","CA-HR-S4","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Employee lookup","F1383A","Employee Lookup (Version 2/Fiori 2.0)","No / validar","SAP_HCMFAB_BC_EMPLOYEE_T","PA-FIO-LKP","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Pay statement","F1313A","My Paystubs (Version 3/Fiori 2.0)","No / validar","SAP_HCMFAB_BC_EMPLOYEE_T","PA-FIO-PST","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Position management","F4435","Manage Positions","No / validar","SAP_DFS_BC_POSITION","IS-DFS-OF-FE","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Standard role design","Review",,,"Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Workforce admin","F6097","Manage Workforce","Si","SAP_BUM_BC_MNG_WORKFORCE_PC","CA-GTF-BUM","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Workforce admin","F6097A","Manage Workforce V2","Si","SAP_BUM_BC_MNG_WORKFORCE_PC","CA-GTF-BUM","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 1 - Workforce foundation and employee self-service","H2R workforce foundation and employee self-service","High","HR Operations Owner","Workforce log","F6767","Manage Workforce Log","Si","SAP_BUM_BC_MNG_WORKFORCE_PC","CA-GTF-BUM","Workforce foundation and employee self-service","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Leave approval","F2584","Approve Leave Requests (Version 3/Fiori 2.0)","No / validar","SAP_HCMFAB_BC_MANAGER_T","PA-FIO-LEA","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Leave request","F1311A","My Leave Requests (Version 3/Fiori 2.0)","No / validar","SAP_HCMFAB_BC_EMPLOYEE_T","PA-FIO-LEA","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Missing time monitoring","F3031","Monitor Missing Time Notifications","Si","SAP_HCM_BC_PRJ_TIMESHEET_PC","CA-TS-S4","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
