"ProcessFamily","Source","Subprocess","AppId","AppName","AppType","Role","ReleaseAnchor","PublicCloud2602","Catalog","Component","UsageType","MexicoRelevant","ValidationStatus","SourceFile"
"Design-to-Operate","D2Operate","Approved chemicals","F2251","Approved Chemicals","Analytical","Hazardous Materials Manager","S32PCE","No / validar","SAP_EHS_BC_HS_HAZMAT_MGMT","EHS-SUS-HS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Asset overview","F8961","Asset Overview","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_AOVW_MNG_PC","PM-EQM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Bill of material","F1813A","Maintain Bill Of Material (Version 2)","Transactional","BOM Engineer","S36","Si","SAP_PLM_BC_MBOM_PC","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Bill of material","F2214","Material Where Used List for BOMs","Transactional","BOM Engineer","S32PCE","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM fallback","CS01","Create Material BOM","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","LO-MD-BOM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM fallback","CS02","Change Material BOM","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","LO-MD-BOM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM fallback","CS03","Display Material BOM","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","LO-MD-BOM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM mass maintenance","F6578","Mass maintenance of bill of material items","Transactional","Others","S32PCE","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM mass maintenance","F6764","Monitor jobs for mass maintenance of bills of material","Transactional","Others","S32PCE","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM mass maintenance","F6862","Mass addition of bill of material items","Transactional","Others","S32PCE","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM mass maintenance","F6863","Mass maintenance of bill of material headers","Transactional","Others","S32PCE","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM transfer log","F8118","Display Transfer Logs for Bills of Material","Transactional","Administrator (Global Trade Services)","W52","No / validar","SAP_LLS_BC_ADM_SYC_LOG_PRE","FT-LEG-MDT","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","BOM visualization","F7802","Visualize Bill of Material","Transactional","BOM Engineer","S32PCE","No / validar","SAP_PLM_BC_MBOM","CA-DMS-CNV","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Change master fallback UI","/PLMU/WDA_ECN_OIF (/PLMU/WDA_ECN_OIF_CFG)","Change Change Master, Create Change Master, Display Change Master","Web Dynpro","Other","S32PCE","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","Standard / legacy UI","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Chemical approvals","F2243","Monitor Approved Chemicals","Transactional","Hazardous Materials Manager","S32PCE","No / validar","SAP_EHS_BC_HS_RSK_MGMT","EHS-SUS-HS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Chemical approvals","F2244","My Chemical Approvals","Transactional","Hazardous Materials Manager","S32PCE","No / validar","SAP_EHS_BC_HS_RSK_MGMT","EHS-SUS-HS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Chemical risk","F2161","Chemical Risks - Detailed Analysis","Analytical","Hazardous Materials Manager","S32PCE","No / validar","SAP_EHS_BC_HS_HAZMAT_MGMT","EHS-SUS-HS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Dangerous goods compliance","F7712","Configure Compliance Requirements - Dangerous Goods Regulations","Transactional","Dangerous Goods Specialist - Product Compliance","S36","Si","SAP_PSS_BC_PC_DG_CNFG_PC","EHS-SUS-DG","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Defect processing","F8046","Process Defects","Transactional","Quality Technician","S36","Si","SAP_QM_BC_DEFECTS_PC","QM-QN-DEF","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
