"InventoryId","ProcessFamily","ProcessStage","O2CScenario","ArtifactId","ArtifactName","ArtifactType","ProtocolOrCategory","Product","PackageOrDomain","BusinessAcceleratorHubUrl","OfficialHelpUrl","SourceRetrievedOn","EvidenceLevel","ValidationStatus","AuthLicensingStatus","CommunicationScenario","ApplicationComponent","ScopeItemCandidate","MexicoComplianceCue","Owner","OpenGaps","NextAction","Notes"
"BAH-O2C-001","Lead-to-Cash / Order-to-Cash","Customer master and sold-to foundation","Customer and business partner integration before order capture","API_BUSINESS_PARTNER","Business Partner (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Master data / Business Partner","https://api.sap.com/api/API_BUSINESS_PARTNER/overview","https://help.sap.com/docs/PRODUCT_ID/44e06f22436c43e582db6ccd5250e29b/85043858ea0f9244e10000000a4450e5.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0008","LO-MD-BP validation pending","Sales order management and commercial controls","Tax ID / customer master audit validation","Sales / Customer Master Owner","Tenant communication arrangement, customer roles, tax data, country fields and authorization model not confirmed","Validate customer/BP API usage, communication scenario and Mexico tax-master-data fields in tenant","SAP Help confirms CRUD support for Business Partner, Supplier and Customer data and Business Accelerator Hub publication."
"BAH-O2C-002","Lead-to-Cash / Order-to-Cash","Sales order capture","Create, read or integrate sales orders from external channels","API_SALES_ORDER_SRV","Sales Order (A2X, OData V2)","API","OData V2","SAP S/4HANA Cloud Private Edition / SAP S/4HANA","Sales / Order Management","https://api.sap.com/api/API_SALES_ORDER_SRV/overview","https://help.sap.com/docs/PRODUCTS/f5d3e1005efd4e86acf9a65abf428082/f4e8c32c1e3a40428ea3d52601c39ce0.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","SD-SLS-API","Sales order management and commercial controls","CFDI / Carta Porte downstream relevance; SoD / approval audit","Sales / Customer Service Owner","Scope item, communication arrangement, version, payload constraints and item error handling not confirmed","Validate against target release, order types, integration scenario, approval controls and downstream billing/delivery evidence","SAP Help references scope item BD9 and availability for SAP S/4HANA Cloud Private Edition and SAP S/4HANA."
"BAH-O2C-003","Lead-to-Cash / Order-to-Cash","Delivery and logistics execution","Outbound delivery read/update/extensibility candidate for shipping integration","API_OUTBOUND_DELIVERY_SRV","Outbound Delivery (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Delivery and Transportation","https://api.sap.com/api/API_OUTBOUND_DELIVERY_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/588780cab2774a7ab9fffca3a7f919fe/7575826aa45d4b31b6ffdc075c988158.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","TBD - validate in API Hub / tenant","Outbound delivery and transportation","Carta Porte / goods movement evidence; SoD / logistics audit","Logistics / Shipping Owner","Communication scenario, supported operations, handling unit behavior, carrier integration and Mexico transport evidence not confirmed","Validate outbound delivery API details, spaces/pages, roles, delivery statuses and Carta Porte relevance in tenant","SAP Help confirms extensibility contexts for Shipping: Delivery, Shipping: Delivery Item and Handling Unit."
"BAH-O2C-004","Lead-to-Cash / Order-to-Cash","Billing and invoice evidence","Read, cancel, get PDF or complete pro forma billing documents","API_BILLING_DOCUMENT_SRV","Billing Document - Read, Cancel, Get PDF, Complete Pro Forma Invoice","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Sales / Billing","https://api.sap.com/api/API_BILLING_DOCUMENT_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/7113856e409647838af7891e1429b807/fe6f3eda2f914d81b512493fd79e9769.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","SD-BIL","Billing, returns and credit memo processing","CFDI / DRC/eDocument / PDF / accounting audit trail","Sales / Billing Owner","Communication arrangement, billing document categories, PDF use, cancellation controls, eDocument/DRC and Mexico CFDI evidence not confirmed","Validate billing API operations, authorization, CFDI/eDocument integration and accounting transfer evidence","SAP Help states the service can read billing document data, cancel billing documents, request PDF and complete pro forma invoices."
"BAH-O2C-005","Lead-to-Cash / Order-to-Cash","External billing creation","Create billing documents from SD document references","BDwReferenceRequest_In","Billing Document - Create with SD Document Reference","API","SOAP","SAP S/4HANA Cloud","Sales / Billing","https://api.sap.com/","https://help.sap.com/docs/SAP_S4HANA_CLOUD/03c04db2a7434731b7fe21dca77440da/63effdc0e14b4719bc72707672cac1cb.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","TBD - validate in API Hub / tenant","Billing, returns and credit memo processing","CFDI / DRC/eDocument / billing audit trail","Sales / Billing Owner","Exact API Hub artifact URL, communication scenario, mass-enabled behavior, monitoring and error handling not confirmed","Validate whether external billing creation is in project scope and whether Mexico e-invoicing controls permit the integration","SAP Help states the SOAP service creates billing documents referencing existing SD documents and is published on Business Accelerator Hub."
"BAH-O2C-006","Lead-to-Cash / Order-to-Cash","Customer returns","Integrate customer return order processing","API_CUSTOMER_RETURN_SRV","Customer Return (A2X, OData V2)","API","OData V2","SAP S/4HANA Cloud Private Edition / SAP S/4HANA","Sales / Claims, Returns and Refund Management","https://api.sap.com/api/API_CUSTOMER_RETURN_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/f5d3e1005efd4e86acf9a65abf428082/1b02813413554200b8f1b8e75ae869e3.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","LO-ARM","Billing, returns and credit memo processing","CFDI cancellation/reissue / returns evidence / inventory-accounting audit","Sales / Returns Owner","Scope item BKP, return type, refund process, logistics/accounting handoff and Mexico fiscal cancellation evidence not confirmed","Validate returns scope, payload requirements, refund path and fiscal document treatment","SAP Help references scope item BKP and technical object API_CUSTOMER_RETURN_SRV."
"BAH-O2C-007","Lead-to-Cash / Order-to-Cash","Credit memo request","Integrate credit memo request creation and processing","API_CREDIT_MEMO_REQUEST_SRV","Credit Memo Request (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Sales / Credit Memo Request","https://api.sap.com/api/API_CREDIT_MEMO_REQUEST_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/19d48293097f4a2589433856b034dfa5/191531b7e2e048d9bddffab772f1788b.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","TBD - validate in API Hub / tenant","Billing, returns and credit memo processing","CFDI credit note / approval audit / SoD","Sales / Billing Owner","Communication scenario, approval behavior, billing reference, fiscal credit note treatment and restrictions not confirmed","Validate supported operations, BAdI/parallel processing behavior, Mexico CFDI credit note evidence and controls","SAP Help states CRUD support for credit memo requests and Business Accelerator Hub publication."
"BAH-O2C-008","Lead-to-Cash / Order-to-Cash","Debit memo request","Integrate debit memo request creation and processing","API_DEBIT_MEMO_REQUEST_SRV","Debit Memo Request (A2X, OData V2)","API","OData V2","SAP S/4HANA Cloud / SAP S/4HANA","Sales / Debit Memo Request","https://api.sap.com/api/API_DEBIT_MEMO_REQUEST_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/03c04db2a7434731b7fe21dca77440da/e7f50d9ea49d49c7a428da494fce2c44.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0159","TBD - validate in API Hub / tenant","Billing, returns and credit memo processing","CFDI debit note / approval audit / SoD","Sales / Billing Owner","Communication arrangement, approval behavior, billing reference, fiscal debit note treatment and restrictions not confirmed","Validate SAP_COM_0159 setup, payload model, Mexico CFDI debit note evidence and billing controls","SAP Help states the required communication scenario SAP_COM_0159."
"BAH-O2C-009","Lead-to-Cash / Order-to-Cash","Payment advice and AR matching","Create/read/update/delete payment advices for customer payment processing","API_PAYMENT_ADVICE_SRV","Payment Advice (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Receivables Management","https://api.sap.com/api/API_PAYMENT_ADVICE_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/4f22209d1f5d4bd79c4a55017608b51b/f8f29bb9d08a418d936ce5de8a78b33f.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0331","Receivables Management","Accounts receivable, collections and payment processing","Complemento de pago / clearing / AR audit trail","Finance AR / Treasury Owner","Customer payment matching, bank statement integration, clearing, payment supplement and Mexico complemento de pago evidence not confirmed","Validate SAP_COM_0331, business catalog SAP_FIN_BC_AR_PAYM_ADV_PC, payment advice type and clearing evidence","SAP Help states SAP_COM_0331 and business catalog SAP_FIN_BC_AR_PAYM_ADV_PC are required."
"BAH-O2C-010","Lead-to-Cash / Order-to-Cash","Accounting document traceability","Read operational journal entry item data for billing/accounting reconciliation","API_OPLACCTGDOCITEMCUBE_SRV","Operational Journal Entry Item - Read (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting","https://api.sap.com/api/API_OPLACCTGDOCITEMCUBE_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/c024170fa7af40878975e218f3426387.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","General Ledger Accounting","Accounts receivable, collections and payment processing","Accounting audit trail / reconciliation evidence","Finance AR / R2R Owner","SAP Help warns it is not designed for large data volumes; filters, performance, authorization and reconciliation design not confirmed","Validate usage pattern, filters, data volume, accounting view and reconciliation against billing/payment documents","SAP Help states this API extracts operational journal entry item data and is not designed for large volumes."
