"TraceabilityId","ProcessFamily","ProcessStage","ScopeItemCandidate","ScopeItemId","FioriAppId","FioriAppName","BusinessRole","BusinessCatalog","TechnicalCatalog","ApplicationComponent","ApiOrArtifactId","ApiOrArtifactType","ApiOrArtifactName","BtpService","BtpServicePlan","BtpMission","SignavioProcess","SignavioVariant","DeploymentModel","ReleaseAnchor","CountryOverlay","MexicoComplianceCue","SourceSystem","SourceUrl","SourceQuery","SourceRetrievedOn","EvidenceLevel","ValidationStatus","RefreshRequiredBeforeUse","OpenGaps","Owner","NextAction","Notes"
"SCI-TRACE-0001","Design-to-Operate","Approved chemicals","EHS and product compliance","TBD - validate in SAP Process Navigator / tenant","F2251","Approved Chemicals","Hazardous Materials Manager","SAP_EHS_BC_HS_HAZMAT_MGMT","TBD","EHS-SUS-HS","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2251","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0002","Design-to-Operate","Asset overview","Technical object and asset master data","TBD - validate in SAP Process Navigator / tenant","F8961","Asset Overview","Maintenance Planner","SAP_EAM_BC_AOVW_MNG_PC","TBD","PM-EQM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S36","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F8961","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0003","Design-to-Operate","Bill of material","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F1813A","Maintain Bill Of Material (Version 2)","BOM Engineer","SAP_PLM_BC_MBOM_PC","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S36","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F1813A","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0004","Design-to-Operate","Bill of material","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F2214","Material Where Used List for BOMs","BOM Engineer","SAP_PLM_BC_MBOM","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2214","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0005","Design-to-Operate","BOM fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CS01","Create Material BOM","Other","Without Catalog Assignment","TBD","LO-MD-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CS01","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0006","Design-to-Operate","BOM fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CS02","Change Material BOM","Other","Without Catalog Assignment","TBD","LO-MD-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CS02","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0007","Design-to-Operate","BOM fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CS03","Display Material BOM","Other","Without Catalog Assignment","TBD","LO-MD-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CS03","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0008","Design-to-Operate","BOM mass maintenance","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F6578","Mass maintenance of bill of material items","Others","SAP_PLM_BC_MBOM","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F6578","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0009","Design-to-Operate","BOM mass maintenance","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F6764","Monitor jobs for mass maintenance of bills of material","Others","SAP_PLM_BC_MBOM","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F6764","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0010","Design-to-Operate","BOM mass maintenance","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F6862","Mass addition of bill of material items","Others","SAP_PLM_BC_MBOM","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F6862","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
