"InventoryId","ProcessFamily","SupportScenario","ServiceName","ServiceTechnicalName","ServiceCategory","DiscoveryCenterUrl","OfficialHelpUrl","CandidatePlans","CandidateRegions","MissionCandidate","R2RDependency","RelatedSci017Artifacts","MexicoComplianceCue","SourceRetrievedOn","EvidenceLevel","ValidationStatus","EntitlementRegionLicensingStatus","Owner","OpenGaps","NextAction","Notes"
"DISC-R2R-001","Record-to-Report","API-led, SOAP, OData, event and file integration for journal posting, accounting trace, bank/payment and reporting handoffs","SAP Integration Suite","integration-suite","Integration","https://discovery-center.cloud.sap/serviceCatalog/integration-suite?region=all","https://help.sap.com/docs/integration-suite/sap-integration-suite/configuration-guide","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate relevant R2R integration missions","Cloud Integration, API Management, integration monitoring and API/event governance candidates for R2R interfaces","JournalEntryCreateRequestConfirmation_In; JournalEntryBulkCreationRequest_In; JournalEntryBulkChangeRequest_In; JournalEntryBulkClearingRequest_In; API_GLACCOUNTLINEITEM_SRV; API_PAYMENT_ADVICE_SRV","Accounting trace / tax evidence / payment evidence / integration audit where applicable","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","Subaccount entitlement, service plan, tenant count, region, Integration Suite capability set, API Management, Cloud Integration, B2B/file scope, transport model and monitoring responsibilities not confirmed","Validate Discovery Center service page, BTP cockpit entitlement, region, Integration Suite capabilities and R2R integration package relevance","SAP Help describes Integration Suite as supporting Cloud Integration, API Management and business events; service plan and pricing require Discovery Center/BTP validation."
"DISC-R2R-002","Record-to-Report","Event-driven integration for journal entry created events and finance monitoring/reconciliation consumers","SAP Integration Suite, advanced event mesh","advanced-event-mesh","Events","https://discovery-center.cloud.sap/serviceCatalog/advanced-event-mesh?region=all","https://help.sap.com/docs/SAP_ADVANCED_EVENT_MESH/649cec0ae9ac49059564a1870fb8a1b7/b405681a132242169707c2808b5216ee.html","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate event-driven R2R missions","Event broker setup, event routing, durable distribution and monitoring for journal entry event consumers","Journal Entry Event","Accounting event audit / reconciliation trigger / SoD","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","AEM entitlement, broker plan, feature-set availability, region, event catalog, Identity Authentication OIDC setup, subscription model and event source availability not confirmed","Validate AEM service plan, broker topology, event API governance and journal-entry event consumer pattern","SAP Help states advanced event mesh requires entitlement/subscription and broker plans in SAP BTP cockpit."
"DISC-R2R-003","Record-to-Report","Existing or lower-volume event messaging scenarios that may still use classic SAP Event Mesh","SAP Event Mesh","event-mesh","Events","https://discovery-center.cloud.sap/serviceCatalog/event-mesh?region=all","https://help.sap.com/docs/event-mesh","TBD - portfolio and Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate whether classic Event Mesh is approved for the customer","Queue/topic messaging for journal entry business events and finance event consumers where applicable","Journal Entry Event","Event audit / accounting trace / downstream compliance trigger validation","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","Current portfolio position, service plan, purchase path, region, commercial model, default/standard plan fit and fit versus Advanced Event Mesh not confirmed","Validate whether classic SAP Event Mesh or Advanced Event Mesh is the approved target for the customer landscape","SAP Help documents Event Mesh for asynchronous events and notes plan/region considerations; portfolio status must be checked before architecture use."
"DISC-R2R-004","Record-to-Report","Identity, SSO, user provisioning and authorization lifecycle for finance users, approvers, API consumers and workflow participants","SAP Cloud Identity Services","identity-authentication","Identity","https://discovery-center.cloud.sap/serviceCatalog/identity-authentication?region=all","https://help.sap.com/docs/identity-authentication/identity-authentication/what-is-identity-authentication","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate identity/security missions","Identity Authentication, Identity Provisioning, Identity Directory and Authorization Management for finance access controls","All SCI-017 artifacts as access and API consumer candidates","SoD / approval controls / finance data access audit","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Identity / Security Lead","Tenant bundle, corporate IdP integration, role collection mapping, group provisioning, MFA policy, API user model, emergency access and audit evidence not confirmed","Validate Cloud Identity tenant model, trust setup, provisioning source, role collection mapping and R2R SoD controls","SAP Help states Cloud Identity Services include Identity Authentication, Identity Provisioning, Identity Directory and Authorization Management."
"DISC-R2R-005","Record-to-Report","Destination-based access from BTP extensions, process automation or document/compliance services to S/4HANA finance APIs and SOAP services","Destination service","destination","Connectivity","https://discovery-center.cloud.sap/serviceCatalog/destination?region=all","https://help.sap.com/docs/connectivity/sap-btp-connectivity-cf/create-and-bind-destination-service-instance","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate destination setup missions","Destination definitions, authentication details and target-system access for R2R APIs, SOAP services and automation","API_GLACCOUNTINCHARTOFACCOUNTS_SRV; API_BANKDETAIL_SRV; API_GLACCOUNTLINEITEM_SRV; API_OPLACCTGDOCITEMCUBE_SRV; API_PAYMENT_ADVICE_SRV","Security / audit trail for finance API access","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","BTP Platform Lead","Destination service entitlement, authentication method, principal propagation, certificate handling, SOAP endpoint setup, service keys, destination lifecycle and credential governance not confirmed","Validate destination plan, auth type, destination naming, lifecycle ownership and secure credential handling","SAP Help states Destination service instances provide credentials and destination configuration for consuming remote systems."
"DISC-R2R-006","Record-to-Report","Hybrid connectivity from cloud applications or Integration Suite to private S/4HANA, bank systems, tax systems, reporting stores or finance document repositories","SAP BTP Connectivity / Connectivity service","connectivity-service","Connectivity","https://discovery-center.cloud.sap/serviceCatalog/connectivity-service?region=all","https://help.sap.com/docs/connectivity","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate hybrid-connectivity missions","Cloud Connector, Connectivity service and proxy options for on-premise or private endpoints","JournalEntryBulkCreationRequest_In; JournalEntryBulkClearingRequest_In; API_PAYMENT_ADVICE_SRV; API_BANKDETAIL_SRV","Bank trace / tax evidence / accounting document repository where private systems are involved","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","BTP Platform Lead","Cloud Connector topology, subaccount mapping, principal propagation, firewall, private endpoint, bank/tax/PAC connectivity and audit requirements not confirmed","Validate connectivity pattern, Cloud Connector access control, principal propagation and network/security approvals","SAP Help describes SAP BTP Connectivity as enabling cloud applications to access internet or on-premise remote services."
"DISC-R2R-007","Record-to-Report","Low-code approval, exception workflow or close-task candidate for journal entry verification, finance controls, clearing exceptions and evidence review","SAP Build Process Automation","sap-build-process-automation","Process Automation","https://discovery-center.cloud.sap/serviceCatalog/sap-build-process-automation?region=all","https://help.sap.com/docs/build-process-automation/sap-build-process-automation","TBD - Discovery Center validation pending; build-default/standard plan validation required","TBD - Discovery Center validation pending","TBD - validate approval/workflow missions","Workflow, decisions, forms, automation, task monitoring and process visibility candidates for R2R approvals and exceptions","JournalEntryBulkCreationRequest_In; JournalEntryBulkChangeRequest_In; JournalEntryBulkClearingRequest_In; F4406 / Manage Substitution and Validation Rules","Approval audit / SoD / close exception controls","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","SAP Activate / PMO Lead; Finance Controls Owner","Service plan, user licensing, standard S/4HANA workflow boundary, Task Center integration, destination setup, API trigger model, transport governance and finance control ownership not confirmed","Validate whether approvals are standard S/4HANA workflow, SAP Build Process Automation, SAP Task Center or another approved workflow tool","SAP Help describes SAP Build Process Automation as a BTP service for no-code workflow and automation capabilities."
"DISC-R2R-008","Record-to-Report","Mexico eDocument, statutory reporting and fiscal evidence for accounting documents, payment documents and reports","SAP Document and Reporting Compliance, cloud edition / SAP Document and Reporting Compliance service","sap-document-and-reporting-compliance-cloud-edition","Compliance","https://discovery-center.cloud.sap/serviceCatalog/sap-document-and-reporting-compliance-service?region=all","https://help.sap.com/docs/SAP_S4HANA_CLOUD/71af4585db6d4904b1724730f3776c9b/55a418a0093b4ae6a68b4c492b472bde.html","TBD - Discovery Center and contract validation pending","TBD - Discovery Center validation pending","TBD - validate compliance/eDocument missions","Electronic document exchange, statutory reporting and Mexico fiscal evidence candidates for R2R reporting and accounting trace","API_OPLACCTGDOCITEMCUBE_SRV; API_GLACCOUNTLINEITEM_SRV; C_TrialBalance_CDS; API_PAYMENT_ADVICE_SRV","CFDI/complemento carry-forward / statutory reporting / SAT-PAC evidence / accounting trace","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Tax / Localization Lead","Exact BTP service scope, cloud edition versus deprecated Neo service, Mexico localization coverage, statutory reporting scope, PAC/SAT integration, license, tenant setup and evidence retention not confirmed","Validate DRC/cloud edition scope, Mexico tasks, legal entity, report submission path and evidence retention before client use","SAP Help states DRC can integrate cloud services for electronic document and statutory report submission; Neo service deprecation must be considered."
"DISC-R2R-009","Record-to-Report","Payment advice, invoice, bank or custom document extraction candidate only if finance document capture/OCR automation is in scope","Document Information Extraction","document-information-extraction","Document Processing","https://discovery-center.cloud.sap/serviceCatalog/document-information-extraction?region=all","https://help.sap.com/docs/build-process-automation/sap-build-process-automation/document-information-extraction-process-automation","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate finance document extraction missions","Document extraction candidate for payment advices, invoices or custom accounting evidence documents in R2R workflows","API_PAYMENT_ADVICE_SRV; SAP Build Process Automation; Destination service","XML/PDF/acuses / payment advice evidence / extraction audit / accounting support documents","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Finance Automation Owner; Accounts Payable / Accounts Receivable Owner","Service availability by region, model support, language/country support, licensing, integration with S/4HANA finance flows, data privacy and evidence retention not confirmed","Validate whether finance document capture/OCR is in R2R scope before including in architecture","SAP Help states Document Information Extraction can extract data from invoices, purchase orders, payment advice and custom documents and that regional availability is specified in SAP Discovery Center."
"DISC-R2R-010","Record-to-Report","Finance reporting, management reporting and visual analytics candidate where embedded S/4HANA reporting is insufficient","SAP Analytics Cloud","sap-analytics-cloud","Analytics","https://discovery-center.cloud.sap/serviceCatalog/sap-analytics-cloud?region=all","https://help.sap.com/docs/r/product/SAP_ANALYTICS_CLOUD","TBD - Discovery Center / SAP Business Data Cloud validation pending","TBD - Discovery Center validation pending","TBD - validate analytics/planning missions","BI, planning and predictive analytics candidate for R2R reporting and management dashboards","API_GLACCOUNTLINEITEM_SRV; API_OPLACCTGDOCITEMCUBE_SRV; C_TrialBalance_CDS","Financial reporting / management reporting / statutory evidence boundary validation","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Finance Reporting / Analytics Owner","License model, SAP Business Data Cloud packaging, tenant, live/acquired connection, data model, authorization propagation, legal-entity scope and statutory reporting boundary not confirmed","Validate whether SAC is in scope versus embedded analytics before architecture or reporting commitments","SAP Help describes SAP Analytics Cloud as SaaS for BI, planning and predictive analytics; use only as analytics candidate."
