"InventoryId","ProcessFamily","ProcessStage","ProcessScenario","ArtifactId","ArtifactName","ArtifactType","ProtocolOrCategory","Product","PackageOrDomain","BusinessAcceleratorHubUrl","OfficialHelpUrl","SourceRetrievedOn","EvidenceLevel","ValidationStatus","AuthLicensingStatus","CommunicationScenario","ApplicationComponent","ScopeItemCandidate","MexicoComplianceCue","Owner","OpenGaps","NextAction","Notes"
"BAH-R2R-001","Record-to-Report","Financial master data foundation","Read G/L account master data for chart-of-accounts validation, reporting setup and posting-control evidence","API_GLACCOUNTINCHARTOFACCOUNTS_SRV","G/L Account - Read","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Master Data","https://api.sap.com/api/API_GLACCOUNTINCHARTOFACCOUNTS_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/3ab6e6fc510f4840a5508e126ef01e22/5f4d16d6a031437fbfd1f61937c6b3fd.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0087 / SAP_COM_0241 candidate - validate","FI-GL validation pending","General Ledger Accounting and Financial Close","Chart of accounts audit / account blocking / SoD","General Ledger / Finance Master Data Owner","Communication scenario fit, chart of accounts scope, company-code extension, authorization object, tenant activation and Mexico statutory chart mapping not confirmed","Validate G/L account read API, roles, chart of accounts scope and tenant authorization before design use","SAP Help identifies API_GLACCOUNTINCHARTOFACCOUNTS_SRV as G/L Account - Read; company-code-specific data needs separate validation."
"BAH-R2R-002","Record-to-Report","Financial master data foundation","Read bank master data for house-bank, bank account and payment evidence governance","API_BANKDETAIL_SRV","Bank Details - Read","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Cash and Liquidity Management / Bank Master Data","https://api.sap.com/api/API_BANKDETAIL_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/8e3ab24444a840ecb6a360fdffb1942f/88a469df500a4f8294e86d863b163b60.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0127 candidate - validate","FIN-FSCM-CLM-BAM validation pending","Bank, AP/AR and payment operations","Bank master audit / payment evidence / SoD","Cash Management / Treasury Operations Owner","Bank account management scope, house-bank linkage, payment method usage, communication scenario, authorization and Mexico bank evidence not confirmed","Validate bank detail API, bank master scope, house-bank linkage and payment evidence ownership","SAP Cloud SDK and SAP Help reference API_BANKDETAIL_SRV for bank detail retrieval; use only as read candidate."
"BAH-R2R-003","Record-to-Report","Journal entry capture and verification","Post lower-volume or immediate-response journal entries from external systems with synchronous confirmation","JournalEntryCreateRequestConfirmation_In","Journal Entry - Post (Synchronous)","SOAP Service","SOAP","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Posting Integration","https://api.sap.com/api/JOURNALENTRYCREATEREQUESTCONFI/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/6979f136cfdc43598247b086991fc443/98b1951d13f34e4cbe3f2765c81d5f2d.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0002","AC-INT validation pending","General Ledger Accounting and Financial Close","Journal approval audit / tax code / exchange rate / SoD","General Ledger Accounting Owner; Integration / Architecture Lead","Synchronous usage pattern, payload fields, posting types, document types, tax/withholding, negative posting, AIF/log monitoring and authorizations not confirmed","Validate whether synchronous posting is approved versus asynchronous posting for the target scenario","SAP Help states the synchronous and asynchronous journal entry posting SOAP APIs are part of Finance - Posting Integration SAP_COM_0002."
"BAH-R2R-004","Record-to-Report","Journal entry capture and verification","Post high-volume or batch journal entries asynchronously from external systems with AIF monitoring","JournalEntryBulkCreationRequest_In","Journal Entry - Post (Asynchronous)","SOAP Service","SOAP","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Posting Integration","https://api.sap.com/api/JOURNALENTRYBULKCREATIONREQUES/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/22a267e571e948499fda007a65b27c64.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0002","AC-INT validation pending","General Ledger Accounting and Financial Close","Journal approval audit / AIF evidence / tax code / exchange rate / SoD","General Ledger Accounting Owner; Integration / Architecture Lead","Batch volume, AIF monitoring, reprocessing ownership, negative posting, confirmation setup, payload, tax/withholding and tenant authorizations not confirmed","Validate asynchronous journal entry posting, AIF monitoring and error reprocessing ownership before integration design","SAP Help recommends asynchronous posting for large amounts of journal entry data."
"BAH-R2R-005","Record-to-Report","Journal entry capture and verification","Change supported journal entry header or item information after posting where business controls allow it","JournalEntryBulkChangeRequest_In","Journal Entry - Change (Asynchronous)","SOAP Service","SOAP","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Posting Integration","https://api.sap.com/api/JournalEntryUpdateAPI/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/6b39bd1d0e5e4099a5b65d835c29c696/c3833c31e7724a79b23e4273290f3e2e.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0002 candidate - validate","AC-INT validation pending","General Ledger Accounting and Financial Close","Correction audit / change approval / SoD","General Ledger Accounting Owner; Finance Controls Owner","Supported change fields, entry-view restriction, sequencing rules, approval evidence and tenant enablement not confirmed","Validate allowed journal entry changes, controls and API Hub artifact before design use","SAP Help states the service supports changes to part of header or item information and only supports documents with entry views."
"BAH-R2R-006","Record-to-Report","Clearing, bank and payment operations","Clear journal entry items or support external clearing requests where clearing integration is in scope","JournalEntryBulkClearingRequest_In","Journal Entry - Clearing (Asynchronous)","SOAP Service","SOAP","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Clearing","https://api.sap.com/api/JOURNALENTRYBULKCLEARINGREQUES/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/e6c0a161b1874c47b5de2519917d0a8d-39.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0002 candidate - validate","FI-GL validation pending","Bank, AP/AR and payment operations","Clearing evidence / payment trace / complemento de pago boundary / SoD","Finance Operations / Clearing Owner","Supported clearing scenarios, AP/AR versus G/L boundary, reversal handling, payment complement impact and authorizations not confirmed","Validate clearing service scope and whether standard apps or API-driven clearing are approved","SAP Help API overview lists Journal Entry - Clearing (Asynchronous); detailed scenario fit remains pending."
"BAH-R2R-007","Record-to-Report","Journal entry capture and verification","Subscribe or react to journal entry created events for downstream reconciliation, audit or monitoring candidates","Journal Entry Event","Journal Entry Event - Created","Event","Business Event","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Business Events","https://api.sap.com/event/CE_JOURNALENTRYEVENTS/resource","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/a97fa43157424cf582cd49baf9b708c1.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate event subscription scenario in tenant","AC-INT validation pending","General Ledger Accounting and Financial Close","Accounting event audit / reconciliation trigger / SoD","Integration / Finance Controls Owner","Event enablement, payload fields, filtering, eventing service, document status behavior and consumer pattern not confirmed","Validate journal entry event availability, payload and approved eventing service before event-driven monitoring design","SAP Help lists the Created event and states business events are published on SAP Business Accelerator Hub."
"BAH-R2R-008","Record-to-Report","AP/AR line-item and subledger handoff","Read journal entry item basic data for subledger-to-GL trace, consolidation data collection or planning integration candidates","API_JOURNALENTRYITEMBASIC_SRV","Journal Entry Item - Read (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Journal Entry Item","https://api.sap.com/api/API_JOURNALENTRYITEMBASIC_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/e6c0a161b1874c47b5de2519917d0a8d-39.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0087 / SAP_COM_0241 candidate - validate","FI-GL validation pending","Finance analytics and compliance","Subledger-to-GL trace / CFDI-complemento carry-forward / audit evidence","Finance Reporting / Consolidation Owner","Exact API Hub URL, extraction filters, data volume, consolidation/planning scope, authorizations and Mexico evidence lineage not confirmed","Validate journal entry item read use case and filters before analytics or reconciliation design","SAP Help API overview lists API_JOURNALENTRYITEMBASIC_SRV for Journal Entry Item - Read (A2X)."
"BAH-R2R-009","Record-to-Report","Financial reporting and statements","Read G/L account line items, balances and cost-object detail for accounting analytics and reconciliation candidates","API_GLACCOUNTLINEITEM_SRV","G/L Account Line Items - Read (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Accounting Analytics","https://api.sap.com/api/API_GLACCOUNTLINEITEM_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/0fa84c9d9c634132b7c4abb9ffdd8f06/80214b5ede2f4e97b640137a4eca208a.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0303","FI-GL validation pending","Finance analytics and compliance","Accounting reconciliation / audit evidence / tax-code visibility","Finance Reporting / Analytics Owner","Field subset, extraction filters, performance limits, ledger/company-code selection, cost object requirements and authorizations not confirmed","Validate API_GLACCOUNTLINEITEM_SRV filters, data-volume limits and reporting fit before extraction design","SAP Help states this API exposes a subset of universal journal fields and can retrieve line items and balances."
"BAH-R2R-010","Record-to-Report","AP/AR line-item and subledger handoff","Read operational journal entry item data for AP/AR, GR/IR, clearing and accounting trace candidates","API_OPLACCTGDOCITEMCUBE_SRV","Operational Journal Entry Item - Read (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","General Ledger Accounting / Journal Entry Item","https://api.sap.com/api/API_OPLACCTGDOCITEMCUBE_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/b978f98fc5884ff2aeb10c8fdeb8a43b/c024170fa7af40878975e218f3426387.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0303 candidate - validate","FI-GL validation pending","Finance analytics and compliance","AP/AR trace / GR-IR evidence / CFDI-complemento carry-forward / audit evidence","Finance AP/AR / Record-to-Report Owner","Entry-view restriction, filters, data volume, AP/AR linkage, GR/IR linkage, tenant authorization and Mexico fiscal trace not confirmed","Validate operational journal entry item extraction scope and performance restrictions before design use","SAP Help warns this service is not designed for large data volumes and recommends filters."
