"InventoryId","ProcessFamily","SupportScenario","ServiceName","ServiceTechnicalName","ServiceCategory","DiscoveryCenterUrl","OfficialHelpUrl","CandidatePlans","CandidateRegions","MissionCandidate","S2PP2PDependency","RelatedSci010Artifacts","MexicoComplianceCue","SourceRetrievedOn","EvidenceLevel","ValidationStatus","EntitlementRegionLicensingStatus","Owner","OpenGaps","NextAction","Notes"
"DISC-S2P-P2P-001","Source-to-Pay / Procure-to-Pay","API-led, A2A, B2B and partner integration for supplier, sourcing, purchasing, receiving, invoice and AP handoffs","SAP Integration Suite","integration-suite","Integration","https://discovery-center.cloud.sap/serviceCatalog/integration-suite?region=all","https://help.sap.com/docs/integration-suite/sap-integration-suite/configuration-guide","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate relevant S2P/P2P integration missions","Cloud Integration, API Management, integration monitoring and partner/B2B integration candidates for S2P/P2P interfaces","API_BUSINESS_PARTNER; API_REQUESTFORQUOTATION_2; API_SUPPLIERQUOTATION_2; API_PURCHASEORDER_2; API_SUPPLIERINVOICE_PROCESS_SRV","Supplier CFDI / XML-PDF-acuse / PAC-SAT / withholding-VAT / integration audit where applicable","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","Subaccount entitlement, service plan, tenant count, region, Integration Suite capability set, API Management, B2B/EDI scope, Ariba/Business Network boundary and transport model not confirmed","Validate Discovery Center service page, BTP cockpit entitlement, region, Integration Suite capabilities and S2P/P2P integration package relevance","SAP Help describes Integration Suite as supporting end-to-end integration, APIs and business events; service plan and pricing require Discovery Center/BTP validation."
"DISC-S2P-P2P-002","Source-to-Pay / Procure-to-Pay","Event-driven integration for purchase order, material document and supplier invoice lifecycle events","SAP Integration Suite, advanced event mesh","advanced-event-mesh","Events","https://discovery-center.cloud.sap/serviceCatalog/advanced-event-mesh?region=all","https://help.sap.com/docs/sap-integration-suite/advanced-event-mesh/accessing-sap-integration-suite-advanced-event-mesh-user-interface","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate event-driven S2P/P2P missions","Event broker setup, event routing, durable distribution and monitoring for procurement event consumers","Purchase Order Events; Material Document Events; Supplier Invoice Events","Supplier invoice sequencing; goods receipt/invoice matching; audit event trace","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","AEM entitlement, broker sizing, region, event catalog, Developer Hub setup, subscription model, operations model and event source availability not confirmed","Validate AEM service plan, broker topology, event API governance and S2P/P2P event consumer pattern","SAP Help states the advanced event mesh UI requires entitlement and subscription in the BTP cockpit."
"DISC-S2P-P2P-003","Source-to-Pay / Procure-to-Pay","Existing or lower-volume event messaging scenarios that may still use classic SAP Event Mesh","SAP Event Mesh","event-mesh","Events","https://discovery-center.cloud.sap/serviceCatalog/event-mesh?region=all","https://help.sap.com/docs/event-mesh","TBD - portfolio and Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate whether classic Event Mesh is approved for the customer","Queue/topic messaging for S/4HANA purchase order, material document and supplier invoice business events where applicable","Purchase Order Events; Material Document Events; Supplier Invoice Events","Event audit / SoD / downstream fiscal and accounting trigger validation","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Integration / Architecture Lead","Current portfolio position, service plan, purchase path, region, commercial model and fit versus Advanced Event Mesh not confirmed","Validate whether classic SAP Event Mesh or Advanced Event Mesh is the approved target for the customer landscape","SAP Help documents SAP Event Mesh and notes service plan considerations; portfolio status must be checked before architecture use."
"DISC-S2P-P2P-004","Source-to-Pay / Procure-to-Pay","Identity, SSO, user provisioning and authorization lifecycle for procurement users, approvers, API consumers and workflow participants","SAP Cloud Identity Services","identity-authentication","Identity","https://discovery-center.cloud.sap/serviceCatalog/identity-authentication?region=all","https://help.sap.com/docs/identity-authentication/identity-authentication/what-is-identity-authentication","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate identity/security missions","Identity Authentication, Identity Provisioning, Identity Directory and Authorization Management for procurement access controls","API_BUSINESS_PARTNER; API_PURCHASEORDER_2; SAP Build Process Automation S2P/P2P approvals; Document Information Extraction","SoD / approval controls / supplier master and AP access audit","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Identity / Security Lead","Tenant bundle, corporate IdP integration, role collection mapping, group provisioning, MFA policy, API user model and audit evidence not confirmed","Validate Cloud Identity tenant model, trust setup, provisioning source, role collection mapping and S2P/P2P SoD controls","SAP Help states Cloud Identity Services include Identity Authentication, Identity Provisioning, Identity Directory and Authorization Management."
"DISC-S2P-P2P-005","Source-to-Pay / Procure-to-Pay","Destination-based access from BTP extensions, process automation or document services to S/4HANA procurement APIs","Destination service","destination","Connectivity","https://discovery-center.cloud.sap/serviceCatalog/destination?region=all","https://help.sap.com/docs/connectivity/sap-btp-connectivity-cf/destination-service","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate destination setup missions","Destination definitions, authentication details and target-system access for S2P/P2P APIs and document automation","API_BUSINESS_PARTNER; API_PURCHASEREQ_PROCESS_SRV; API_PURCHASEORDER_2; API_SUPPLIERINVOICE_PROCESS_SRV; API_OPLACCTGDOCITEMCUBE_SRV","Security / audit trail for procurement and AP API access","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","BTP Platform Lead","Destination service entitlement, authentication method, principal propagation, certificate handling, service keys, destination lifecycle and credential governance not confirmed","Validate destination plan, auth type, destination naming, lifecycle ownership and secure credential handling","SAP Help states Destination service stores technical information, routing and authentication details to access remote services or systems."
"DISC-S2P-P2P-006","Source-to-Pay / Procure-to-Pay","Hybrid connectivity from cloud applications or Integration Suite to private S/4HANA, supplier portal, warehouse, AP, OCR or tax systems","SAP BTP Connectivity / Connectivity service","connectivity-service","Connectivity","https://discovery-center.cloud.sap/serviceCatalog/connectivity-service?region=all","https://help.sap.com/docs/connectivity","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate hybrid-connectivity missions","Cloud Connector, Connectivity service and proxy options for on-premise or private endpoints","API_MATERIAL_DOCUMENT_SRV; API_SUPPLIERINVOICE_PROCESS_SRV; API_OPLACCTGDOCITEMCUBE_SRV","Carta Porte conditional / supplier invoice fiscal evidence / accounting trace where private systems are involved","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","BTP Platform Lead","Cloud Connector topology, subaccount mapping, principal propagation, firewall, private endpoint, tax/PAC connectivity and audit requirements not confirmed","Validate connectivity pattern, Cloud Connector access control, principal propagation and network/security approvals","SAP Help describes SAP BTP Connectivity as enabling cloud applications to access internet or on-premise remote services."
"DISC-S2P-P2P-007","Source-to-Pay / Procure-to-Pay","Low-code approval or exception workflow candidate for PR, PO, SES, supplier invoice, blocked invoice and dispute-adjacent tasks","SAP Build Process Automation","sap-build-process-automation","Process Automation","https://discovery-center.cloud.sap/serviceCatalog/sap-build-process-automation?region=all","https://help.sap.com/docs/build-process-automation","TBD - Discovery Center validation pending; build-default/standard plan validation required","TBD - Discovery Center validation pending","TBD - validate approval/workflow missions","Workflow, decisions, forms, automation and task monitoring candidates for procurement approvals and invoice exceptions","API_PURCHASEREQ_PROCESS_SRV; API_PURCHASEORDER_2; API_SERVICEENTRYSHEET / api_serviceentrysheet; API_SUPPLIERINVOICE_PROCESS_SRV; Supplier Invoice Events","Approval audit / SoD / blocked invoice and exception controls","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","SAP Activate / PMO Lead","Service plan, user licensing, standard S/4HANA workflow boundary, Task Center integration, destination setup, API trigger model and transport governance not confirmed","Validate whether approvals are standard S/4HANA workflow, SAP Build Process Automation, SAP Task Center or another approved workflow tool","SAP Help describes SAP Build Process Automation as a BTP service for low-code/no-code process automation."
"DISC-S2P-P2P-008","Source-to-Pay / Procure-to-Pay","Mexico eDocument, statutory reporting and fiscal evidence for supplier invoices and related procurement documents","SAP Document and Reporting Compliance service / eDocument Mexico","sap-document-and-reporting-compliance-service","Compliance","https://discovery-center.cloud.sap/serviceCatalog/sap-document-and-reporting-compliance-service?region=all","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/b2d44c1091094b5a810c2a879ee95522/85ebbf5d8ad849a7977f239ba940deb1.html","TBD - Discovery Center and contract validation pending","TBD - Discovery Center validation pending","TBD - validate compliance/eDocument missions","Electronic document processing, statutory reporting and Mexico fiscal evidence for supplier invoice receipt and related AP controls","API_SUPPLIERINVOICE_PROCESS_SRV; Supplier Invoice Events; API_OPLACCTGDOCITEMCUBE_SRV","Supplier CFDI / XML-PDF-acuse / PAC-SAT / withholding-VAT / cancellation and accounting evidence","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Tax / Localization Lead","Exact BTP service scope, S/4HANA feature scope, Mexico localization coverage, supplier invoice eDocument processing, PAC/SAT integration, license and tenant setup not confirmed","Validate DRC/eDocument licensing, Mexico scope, eDocument cockpit/process, PAC integration and supplier invoice evidence retention before client use","SAP Help for Mexico states DRC can process electronic documents received from business partners such as supplier invoices; Discovery Center service status must be validated."
"DISC-S2P-P2P-009","Source-to-Pay / Procure-to-Pay","Supplier master replication and master-data consistency candidate where SAP Ariba/SAP Business Network or multi-application supplier landscape is in scope","SAP Master Data Integration","master-data-integration","Master Data","https://discovery-center.cloud.sap/serviceCatalog/master-data-integration?region=all","https://help.sap.com/docs/master-data-integration/sap-master-data-integration-prod/what-is-master-data-integration","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate MDI supplier data missions","Central master data replication/synchronization candidate for supplier/business partner data across applications","API_BUSINESS_PARTNER","Supplier master audit / RFC-tax ID / withholding and VAT data governance","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Supplier Master / Data Governance Owner","MDI entitlement, supported objects, SAP One Domain Model coverage, SAP Ariba/Business Network scope, integration topology and data governance ownership not confirmed","Validate whether MDI is in scope; if not, keep supplier master integration as direct S/4HANA/API responsibility","SAP Help states MDI is a central master data hub and supports only specific master data objects; not a generic MDG replacement."
"DISC-S2P-P2P-010","Source-to-Pay / Procure-to-Pay","Supplier invoice or procurement document extraction candidate only if invoice capture/OCR automation is in scope","Document Information Extraction","document-information-extraction","Document Processing","https://discovery-center.cloud.sap/serviceCatalog/document-information-extraction?region=all","https://help.sap.com/docs/build-process-automation/sap-build-process-automation/document-information-extraction-process-automation","TBD - Discovery Center validation pending","TBD - Discovery Center validation pending","TBD - validate invoice/document extraction missions","Document processing and extraction candidate for supplier invoices, purchase orders or other semi-structured procurement documents","API_SUPPLIERINVOICE_PROCESS_SRV; SAP Build Process Automation; Destination service","Supplier invoice XML/PDF evidence / extraction audit / AP exception controls","2026-07-19","Source-guided","Entitlement/region/licensing validation pending","Entitlement/region/licensing validation pending","Accounts Payable / Automation Owner","Service availability by region, model support, language/country support, licensing, integration with S/4HANA supplier invoice flow, data privacy and evidence retention not confirmed","Validate whether invoice capture/OCR is in S2P/P2P scope before including in architecture","SAP Help states Document Information Extraction can extract information from documents such as invoices and purchase orders and notes regional availability is specified in SAP Discovery Center."
