"InventoryId","ProcessFamily","ProcessStage","ProcessScenario","ArtifactId","ArtifactName","ArtifactType","ProtocolOrCategory","Product","PackageOrDomain","BusinessAcceleratorHubUrl","OfficialHelpUrl","SourceRetrievedOn","EvidenceLevel","ValidationStatus","AuthLicensingStatus","CommunicationScenario","ApplicationComponent","ScopeItemCandidate","MexicoComplianceCue","Owner","OpenGaps","NextAction","Notes"
"BAH-S2P-P2P-001","Source-to-Pay / Procure-to-Pay","Supplier and master data foundation","Supplier/business partner data for onboarding, purchasing and invoice/payment evidence","API_BUSINESS_PARTNER","Business Partner (A2X)","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Master data / Business Partner","https://api.sap.com/api/API_BUSINESS_PARTNER/overview","https://help.sap.com/docs/PRODUCT_ID/44e06f22436c43e582db6ccd5250e29b/85043858ea0f9244e10000000a4450e5.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","SAP_COM_0008","LO-MD-BP validation pending","Sourcing, supplier management and contracts","RFC/tax ID / supplier master audit / withholding-VAT validation","Supplier Master / Procurement Owner","Supplier roles, purchasing organization/company code views, tax data, withholding, bank data, communication arrangement and authorization model not confirmed","Validate supplier/BP usage, communication arrangement and Mexico supplier fiscal fields in tenant","Reused as supplier-master candidate; tenant and country-specific supplier views remain pending."
"BAH-S2P-P2P-002","Source-to-Pay / Procure-to-Pay","Sourcing and quotations","Create, update, approve, publish, complete or cancel RFQs from external sourcing flows","API_REQUESTFORQUOTATION_2","Request for Quotation","API","OData V4","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / RFQ","https://api.sap.com/api/API_REQUESTFORQUOTATION_2/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/91af7f8d3acd47da90d33aaacfcd0d59/3f674082aecc45709f0f87594a60926d.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-FIO-PUR-RFQ validation pending","Sourcing, supplier management and contracts","Supplier governance / approval audit / SoD","Strategic Sourcing Owner","Exact API Hub artifact, service group activation, communication scenario, approval behavior, bidder handling and release applicability not confirmed","Validate API_REQUESTFORQUOTATION_2 in Business Accelerator Hub and target tenant before integration design","SAP Help describes the RFQ service as OData V4 and published on SAP Business Accelerator Hub."
"BAH-S2P-P2P-003","Source-to-Pay / Procure-to-Pay","Sourcing and quotations","Create, update, submit, award or cancel supplier quotations with RFQ reference","API_SUPPLIERQUOTATION_2","Supplier Quotation","API","OData V4","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Supplier Quotation","https://api.sap.com/api/API_SUPPLIERQUOTATION_2/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb9f1469daf04bd894ab2167f8132a1a/72953820cc7c47fc9cdacd9702decf4d.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-FIO-PUR-RFQ validation pending","Sourcing, supplier management and contracts","Supplier evaluation / award audit / SoD","Strategic Sourcing Owner","Supplier quotation service group, approval/award behavior, RFQ reference, restrictions and authorizations not confirmed","Validate supplier quotation API, RFQ linkage and sourcing approval controls before design use","SAP Help identifies service group API_SUPPLIERQUOTATION_2 and service name SUPPLIERQUOTATION."
"BAH-S2P-P2P-004","Source-to-Pay / Procure-to-Pay","Sourcing and contracts","Create/read/update purchase contracts or central purchase contracts where contract integration is in scope","API_PURCHASECONTRACT_PROCESS_SRV;v=2 / API_CENTRAL_PURCHASECONTRACT","Purchase Contracts (Version 2) / Central Purchase Contract","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Contract Management","https://api.sap.com/","https://help.sap.com/docs/SAP_S4HANA_CLOUD/0e602d466b99490187fcbb30d1dc897c/0948abca815149a0a01af4d2a570d139.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-FIO-PUR-SQ-CON validation pending","Sourcing, supplier management and contracts","Contract audit / supplier governance / SoD","Procurement Contracts Owner","Exact API Hub URL, standard versus central procurement scope, version 2 usage, legal transaction linkage, approval workflow and licensing not confirmed","Validate whether local purchase contracts, central contracts or no contract API is in project scope","SAP Help API list references Purchase Contracts (Version 2) and Central Purchase Contract; exact fit must be validated."
"BAH-S2P-P2P-005","Source-to-Pay / Procure-to-Pay","Requisition and purchase order","Create/read/update/delete purchase requisitions and enable external purchasing handoff","API_PURCHASEREQ_PROCESS_SRV","Purchase Requisition - OData V2","API","OData V2","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Purchase Requisition","https://api.sap.com/api/API_PURCHASEREQ_PROCESS_SRV/overview","https://help.sap.com/docs/PRODUCT_ID/91af7f8d3acd47da90d33aaacfcd0d59/43c43f584eff2160e10000000a44147b.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-PUR-REQ validation pending","Operational procurement and approvals","Approval audit / SoD / account assignment and tax input validation","Procurement Operations Owner","Current API lifecycle/deprecation status, external approval status usage, communication arrangement, scope item and tenant restrictions not confirmed","Validate current SAP Help/API Hub status and whether a newer purchase requisition API is preferred for the target release","SAP Help documents API_PURCHASEREQ_PROCESS_SRV; current release/deprecation signals must be checked before design."
"BAH-S2P-P2P-006","Source-to-Pay / Procure-to-Pay","Requisition and purchase order","Create/read/update purchase orders and integrate external procurement channels","API_PURCHASEORDER_2","Purchase Order (OData V4)","API","OData V4","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Purchase Order","https://api.sap.com/api/API_PURCHASEORDER_2/overview","https://help.sap.com/docs/SAP_S4HANA_CLOUD/0e602d466b99490187fcbb30d1dc897c/c89eec80ec2043d980cb7b8c89e0a00a.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-PUR validation pending","Operational procurement and approvals","Approval audit / tax code / account assignment / SoD","Procurement Operations Owner","Purchase order type support, item categories, pricing, output, communication arrangement, authorizations and release applicability not confirmed","Validate API_PURCHASEORDER_2 versus deprecated V2 API, PO types and extensions before design use","SAP Help identifies Purchase Order OData V4 and links it to Business Accelerator Hub."
"BAH-S2P-P2P-007","Source-to-Pay / Procure-to-Pay","Requisition and purchase order","Subscribe or react to purchase order approval, creation, change and item status events","Purchase Order Events","Purchase Order Events","Event","Business Event","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Purchase Order Events","https://api.sap.com/","https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb9f1469daf04bd894ab2167f8132a1a/eeab037f56e24beeb5d729de18055a65.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate event subscription scenario in tenant","MM-PUR validation pending","Operational procurement and approvals","Approval audit / SoD / downstream receiving and invoice controls","Integration / Procurement Owner","Event object URL, event enablement, payload fields, filtering, Event Mesh/AEM target and consumer design not confirmed","Validate event availability, payload and approved eventing service before event-driven design","SAP Help lists purchase order events and states business events are published on SAP Business Accelerator Hub."
"BAH-S2P-P2P-008","Source-to-Pay / Procure-to-Pay","Goods receipt and service entry","Create, read and cancel material documents for goods receipt and inventory movements","API_MATERIAL_DOCUMENT_SRV","Material Document - Read, Create, Cancel","API","OData","SAP S/4HANA Cloud / SAP S/4HANA","Inventory / Material Document","https://api.sap.com/api/API_MATERIAL_DOCUMENT_SRV/overview","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/eb2a39dd0c124fed8252f684002d55e1/1aef4e402acd4c8b8ec2ea2bfda7715b.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-IM validation pending","Goods receipt, service entry and logistics evidence","Goods movement evidence / Carta Porte conditional / inventory-accounting audit","Warehouse / Receiving Owner","Goods movement codes, GR against PO, cancellation behavior, batch/change-set restrictions, tax/transport evidence and authorizations not confirmed","Validate material document API operations, movement types, PO reference and Mexico transport relevance in tenant","SAP Help documents read/create/cancel operations for API_MATERIAL_DOCUMENT_SRV."
"BAH-S2P-P2P-009","Source-to-Pay / Procure-to-Pay","Goods receipt and service entry","Subscribe or react to material document created/canceled events for receiving evidence","Material Document Events","Material Document Events","Event","Business Event","SAP S/4HANA Cloud / SAP S/4HANA","Inventory / Material Document Events","https://api.sap.com/","https://help.sap.com/docs/PRODUCT_ID/eb2a39dd0c124fed8252f684002d55e1/40783449115e4b53a9da6e513caf8f50.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate event subscription scenario in tenant","MM-IM validation pending","Goods receipt, service entry and logistics evidence","Goods movement audit / downstream invoice match / Carta Porte conditional","Integration / Warehouse Owner","Event object URL, event enablement, payload fields, filtering, eventing service and receiving-to-invoice correlation not confirmed","Validate material document events and eventing target before event-driven receiving design","SAP Help lists MaterialDocument.Created.v1 and MaterialDocument.Canceled.v1 and states events are published on SAP Business Accelerator Hub."
"BAH-S2P-P2P-010","Source-to-Pay / Procure-to-Pay","Goods receipt and service entry","Create/read/update service entry sheets for lean service acceptance against purchase orders","API_SERVICEENTRYSHEET / api_serviceentrysheet","Service Entry Sheet","API","OData V4","SAP S/4HANA Cloud / SAP S/4HANA","Sourcing and Procurement / Service Entry Sheet","https://api.sap.com/","https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb9f1469daf04bd894ab2167f8132a1a/57010c45171e48f1b75a47bb1064bdf4.html","2026-07-19","Source-guided","Auth/licensing validation pending","Auth/licensing validation pending","TBD - validate in API Hub / tenant","MM-PUR-SVC-SES validation pending","Goods receipt, service entry and logistics evidence","Service acceptance evidence / approval audit / withholding-VAT validation","Services Procurement Owner","Exact API Hub technical name, service group, approval status handling, PO reference, account assignment and authorizations not confirmed","Validate exact Business Accelerator Hub artifact and service-entry approval model before integration design","SAP Help documents service entry sheet creation through OData V4 path api_serviceentrysheet."
