H2RStage,BusinessOutcome,PrimarySuccessFactorsSources,SupportingSources,CurrentCoverage,ValidationStatus,EvidenceRequired,RecommendedOwner,NextAction
"Workforce strategy and planning","Define workforce demand, headcount assumptions, organization model and planning inputs.","Employee Central; Workforce Analytics","Process Library; Architecture Governance; Cloud ALM","Source register seeded for Employee Central and Workforce Analytics. Process-library and architecture sources are available for workshop framing.","Source-guided; tenant validation pending","Target organization model, legal entities, position strategy, workforce plan assumptions, analytics scope and Cloud ALM or Signavio process evidence.","HR Operations Owner; Workforce Planning Owner","Confirm whether workforce planning is handled in SuccessFactors, external planning tools, S/4HANA, or a manual governance process."
"Recruit","Manage requisitions, candidate attraction, applications, interviews, offers and recruiting integrations.","Recruiting","Platform / RBP; Process Library; Integration / API","Source register includes Recruiting product and configuration anchors. H2R S/4 inventory does not validate Recruiting module coverage.","Source-guided; tenant validation pending","Recruiting modules in contract, requisition templates, candidate profile/application templates, career site scope, job distribution, RBP, vendor integration and data privacy evidence.","Recruiting Owner; HR Operations Owner; Security Owner","Map recruit-to-hire process to Recruiting Management, Recruiting Marketing, Recruiting Posting and third-party assessment/vendor boundaries."
"Hire","Convert selected candidate or worker into active employee with correct employee ID, employment data, manager, position, cost center and legal entity.","Employee Central; Recruiting; Onboarding","Platform / RBP; Integration / API","Source register covers EC, Recruiting and Onboarding anchors. Hire execution needs tenant flow confirmation.","Source-guided; tenant validation pending","Manage Pending Hires flow, employee ID strategy, foundation objects, company/job structure, position management, workflows, RBP, data model and integration evidence.","HR Operations Owner; HR Data Owner","Validate candidate-to-employee mapping, new hire data review, EC employment data ownership and S/4HANA or payroll replication needs."
"Onboard","Prepare new hire before day one, collect data, complete tasks, generate documents and hand off to Employee Central.","Onboarding","Recruiting; Employee Central; Platform / RBP; Process Library","Source register includes Onboarding product and Best Practices source for onboarding initiated from Recruiting. Current versus Onboarding 1.0 boundary remains open.","Source-guided; tenant validation pending","Onboarding version, process variants, compliance requirements, document templates, e-signature, RBP, tasks, emails, country forms and Manage Pending Hires evidence.","Onboarding Owner; HR Operations Owner; Legal/Compliance Owner","Decide whether current Onboarding, Onboarding 1.0 or an external onboarding process is in scope."
"Manage employee data and job changes","Maintain personal, employment, organization, compensation-relevant and position data through controlled workflows.","Employee Central","Platform / RBP; Integration / API; Implementation Governance","Source register includes Employee Central implementation and country-specific anchors. S/4 H2R inventory only covers selected employee lookup/workforce apps.","Source-guided; tenant validation pending","EC data model, CSF data model, picklists, workflows, event reasons, position management, role permissions, audit/change log and integration ownership.","HR Operations Owner; HR Data Owner; Security Owner","Create data ownership matrix for employee, job, position, manager, cost center, legal entity and payroll-relevant attributes."
"Time off, attendance and timesheet","Record absences, attendance, working time, approvals and time valuation inputs for payroll or costing.","Time Management; Time Tracking","Employee Central; Employee Central Payroll; Integration / API","Source register includes Time Management, Time Tracking and prerequisite anchors. S/4 H2R inventory covers some S/4 timesheet and approval apps separately.","Source-guided; subscription and tenant validation pending","Time Off/Time Sheet enablement, Time Tracking subscription, work schedules, holiday calendars, time types, approvals, valuation rules, payroll replication and cost object evidence.","HR Time Owner; Payroll Owner; Finance/Controlling Owner","Separate EC Time, Time Tracking, S/4 CATS/timesheet, payroll provider and project-costing responsibilities."
"Payroll preparation and execution","Prepare payroll data, run payroll or support external payroll execution, manage payroll control and country-specific replication.","Employee Central Payroll","Employee Central; Time Management; Platform / RBP; Cloud ALM","Source register includes ECP product and country-specific anchors. Existing S/4 H2R coverage only confirms limited payroll/accounting handoff, not payroll core.","Source-guided; tenant and legal validation pending","Payroll system boundary, ECP or external provider decision, payroll calendar, control center, wage type/configuration scope, country localization, time/master data replication and owner signoff.","Payroll Owner; HR Operations Owner","Confirm whether payroll is ECP, SAP HCM, external provider or local system before treating payroll scenarios as covered."
"Payroll accounting and finance handoff","Post payroll costs, reconcile GL/cost objects, review payroll accounting notifications and retain audit evidence.","Employee Central Payroll","S/4HANA H2R Fiori inventory; Employee Central; Integration / API; Cloud ALM","S/4 H2R inventory contains payroll accounting notifications and finance posting apps. SuccessFactors payroll-to-finance integration remains unvalidated.","Partially source-guided; tenant validation pending","Posting design, GL/cost center/internal order mapping, replication logs, payroll posting documents, reconciliation, error handling, finance approval and audit evidence.","Payroll Owner; Finance/R2R Owner; Integration Owner","Connect ECP or payroll-provider output to S/4HANA journal, cost object and reconciliation evidence."
"Benefits","Administer benefit eligibility, enrollment, deductions or benefit-related employee data where in SuccessFactors scope.","Benefits; Employee Central","Platform / RBP; Process Library; Employee Central Payroll","Dedicated Benefits source rows are seeded for Employee Central Global Benefits, administrator tasks, Best Practices, latest enrollment experience, confirmation statements and payroll integration.","Source-guided; tenant and payroll validation pending","Benefits module/product scope, eligibility rules, enrollment periods, deductions, country applicability, provider integrations, RBP, confirmation statement and payroll deduction handoff evidence.","Benefits Owner; HR Operations Owner; Payroll Owner","Decide whether Employee Central Global Benefits, an external provider or payroll-provider benefits administration is in scope for the target landscape."
"Learning","Assign, complete, track and report required and optional learning; manage Learning-specific identity scenarios.","Learning","Platform / RBP; Process Library; UX / Design","Source register includes Learning and Learning with IAS/IPS anchors. H2R workshop can ask learning boundary questions but does not prove Learning tenant coverage.","Source-guided; tenant validation pending","Learning architecture, internal/external learner model, libraries, curricula, content providers, iContent, assignment rules, completion evidence, RBP and identity setup.","Learning Owner; Security/IAM Owner","Confirm Learning-only users, external learners, compliance-learning evidence and integration with broader talent process."
